rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1,Argentina,ARG,1877.00,1874.81,0,CONMEBOL,2026-06-10
2,Spain,ESP,1876.00,1729.92,6,UEFA,2026-06-10
3,France,FRA,1875.00,1837.47,-1,UEFA,2026-06-10
4,England,ENG,1826.00,1787.88,1,UEFA,2026-06-10
5,Portugal,POR,1764.00,1763.83,0,UEFA,2026-06-10
6,Brazil,BRA,1761.00,1791.85,-2,CONMEBOL,2026-06-10
7,Netherlands,NED,1758.00,1757.87,0,UEFA,2026-06-10
8,Morocco,MAR,1756.00,1755.87,0,CAF,2026-06-10
9,Belgium,BEL,1735.00,1734.71,0,UEFA,2026-06-10
10,Germany,GER,1730.00,1646.78,6,UEFA,2026-06-10
11,Croatia,CRO,1717.00,1717.07,0,UEFA,2026-06-10
12,Italy,ITA,1700.00,1700.37,0,UEFA,2026-06-10
13,Colombia,COL,1693.00,1693.09,0,CONMEBOL,2026-06-10
14,Senegal,SEN,1689.00,1688.99,0,CAF,2026-06-10
15,Mexico,MEX,1681.00,1681.03,0,CONCACAF,2026-06-10
16,United States,USA,1673.00,1673.13,0,CONCACAF,2026-06-10
17,Uruguay,URU,1673.00,1673.07,0,CONMEBOL,2026-06-10
18,Japan,JPN,1660.00,1660.43,0,AFC,2026-06-10
19,Switzerland,SUI,1649.00,1649.40,0,UEFA,2026-06-10
20,Denmark,DEN,1621.00,1620.81,0,UEFA,2026-06-10
21,South Korea,KOR,1610.00,1610.00,0,AFC,2026-06-10
22,Ecuador,ECU,1600.00,1600.00,0,CONMEBOL,2026-06-10
23,Austria,AUT,1595.00,1595.00,0,UEFA,2026-06-10
24,Turkey,TUR,1590.00,1590.00,0,UEFA,2026-06-10
25,Australia,AUS,1580.00,1580.00,0,AFC,2026-06-10
26,Canada,CAN,1570.00,1570.00,0,CONCACAF,2026-06-10
27,Norway,NOR,1560.00,1560.00,0,UEFA,2026-06-10
28,Panama,PAN,1540.00,1540.00,0,CONCACAF,2026-06-10
29,Algeria,ALG,1530.00,1530.00,0,CAF,2026-06-10
30,Egypt,EGY,1520.00,1520.00,0,CAF,2026-06-10
31,Scotland,SCO,1510.00,1510.00,0,UEFA,2026-06-10
32,Paraguay,PAR,1500.00,1500.00,0,CONMEBOL,2026-06-10
33,Tunisia,TUN,1490.00,1490.00,0,CAF,2026-06-10
34,Ivory Coast,CIV,1480.00,1480.00,0,CAF,2026-06-10
35,Sweden,SWE,1470.00,1470.00,0,UEFA,2026-06-10
36,Czech Republic,CZE,1460.00,1460.00,0,UEFA,2026-06-10
37,Bosnia and Herzegovina,BIH,1440.00,1440.00,0,UEFA,2026-06-10
38,Qatar,QAT,1420.00,1420.00,0,AFC,2026-06-10
39,Saudi Arabia,KSA,1410.00,1410.00,0,AFC,2026-06-10
40,South Africa,RSA,1390.00,1390.00,0,CAF,2026-06-10
41,Jordan,JOR,1370.00,1370.00,0,AFC,2026-06-10
42,Cape Verde,CPV,1360.00,1360.00,0,CAF,2026-06-10
43,Ghana,GHA,1350.00,1350.00,0,CAF,2026-06-10
44,Iraq,IRQ,1340.00,1340.00,0,AFC,2026-06-10
45,Uzbekistan,UZB,1330.00,1330.00,0,AFC,2026-06-10
46,DR Congo,COD,1320.00,1320.00,0,CAF,2026-06-10
47,Iran,IRN,1620.00,1620.00,0,AFC,2026-06-10
48,Haiti,HAI,1250.00,1250.00,0,CONCACAF,2026-06-10
49,New Zealand,NZL,1240.00,1240.00,0,OFC,2026-06-10
50,Curaçao,CUW,1230.00,1230.00,0,CONCACAF,2026-06-10
51,Scotland,SCO,1510.00,1510.00,0,UEFA,2026-06-10
