name,team,position,wc2026
Raul Rangel,Mexico,Goalkeeper,True
Carlos Acevedo,Mexico,Goalkeeper,True
Guillermo Ochoa,Mexico,Goalkeeper,True
Jorge Sanchez,Mexico,Defender,True
Cesar Montes,Mexico,Defender,True
Edson Alvarez,Mexico,Defender,True
Johan Vasquez,Mexico,Defender,True
Israel Reyes,Mexico,Defender,True
Mateo Chavez,Mexico,Defender,True
Jesus Gallardo,Mexico,Defender,True
Erik Lira,Mexico,Midfield,True
Luis Romo,Mexico,Midfield,True
Alvaro Fidalgo,Mexico,Midfield,True
Orbelin Pineda,Mexico,Midfield,True
Obed Vargas,Mexico,Midfield,True
Gilberto Mora,Mexico,Midfield,True
Luis Chavez,Mexico,Midfield,True
Roberto Alvarado,Mexico,Midfield,True
Brian Gutierrez,Mexico,Midfield,True
Raul Jimenez,Mexico,Attack,True
Alexis Vega,Mexico,Attack,True
Santiago Gimenez,Mexico,Attack,True
Armando Gonzalez,Mexico,Attack,True
Julian Quinones,Mexico,Attack,True
Cesar Huerta,Mexico,Attack,True
Guillermo Martinez,Mexico,Attack,True
Ronwen Williams,South Africa,Goalkeeper,True
Sipho Chaine,South Africa,Goalkeeper,True
Ricardo Goss,South Africa,Goalkeeper,True
Thabang Matuludi,South Africa,Defender,True
Khulumani Ndamane,South Africa,Defender,True
Aubrey Modiba,South Africa,Defender,True
Mbekezeli Mbokazi,South Africa,Defender,True
Samukele Kabini,South Africa,Defender,True
Nkosinathi Sibisi,South Africa,Defender,True
Khuliso Mudau,South Africa,Defender,True
Ime Okon,South Africa,Defender,True
Olwethu Makhanya,South Africa,Defender,True
Bradley Cross,South Africa,Defender,True
Teboho Mokoena,South Africa,Midfield,True
Thalente Mbatha,South Africa,Midfield,True
Tshepang Moremi,South Africa,Midfield,True
Themba Zwane,South Africa,Midfield,True
Sphephelo Sithole,South Africa,Midfield,True
Jayden Adams,South Africa,Midfield,True
Oswin Appollis,South Africa,Attack,True
Lyle Foster,South Africa,Attack,True
Relebohile Mofokeng,South Africa,Attack,True
Thapelo Maseko,South Africa,Attack,True
Iqraam Rayners,South Africa,Attack,True
Evidence Makgopa,South Africa,Attack,True
Kamogelo Sebelebele,South Africa,Attack,True
Kim Seung-gyu,South Korea,Goalkeeper,True
Song Bum-keun,South Korea,Goalkeeper,True
Jo Hyeon-woo,South Korea,Goalkeeper,True
Lee Han-beom,South Korea,Defender,True
Kim Min-jae,South Korea,Defender,True
Kim Tae-hyeon,South Korea,Defender,True
Lee Tae-seok,South Korea,Defender,True
Cho Wi-je,South Korea,Defender,True
Kim Moon-hwan,South Korea,Defender,True
Park Jin-seob,South Korea,Defender,True
Seol Young-woo,South Korea,Defender,True
Jens Castrop,South Korea,Defender,True
Lee Ki-hyuk,South Korea,Midfield,True
Hwang In-beom,South Korea,Midfield,True
Paik Seung-ho,South Korea,Midfield,True
Lee Jae-sung,South Korea,Midfield,True
Hwang Hee-chan,South Korea,Midfield,True
Bae Jun-ho,South Korea,Midfield,True
Lee Kang-in,South Korea,Midfield,True
Yang Hyun-jun,South Korea,Midfield,True
Kim Jin-gyu,South Korea,Midfield,True
Eom Ji-sung,South Korea,Midfield,True
Lee Dong-gyeong,South Korea,Midfield,True
Son Heung-min,South Korea,Attack,True
Cho Gue-sung,South Korea,Attack,True
Oh Hyeon-gyu,South Korea,Attack,True
Matej Kovar,Czech Republic,Goalkeeper,True
Jindrich Stanek,Czech Republic,Goalkeeper,True
Lukas Hornicek,Czech Republic,Goalkeeper,True
David Zima,Czech Republic,Defender,True
Tomas Holes,Czech Republic,Defender,True
Robin Hranac,Czech Republic,Defender,True
Vladimir Coufal,Czech Republic,Defender,True
Stepan Chaloupek,Czech Republic,Defender,True
Ladislav Krejci,Czech Republic,Defender,True
David Jurasek,Czech Republic,Defender,True
Jaroslav Zeleny,Czech Republic,Defender,True
David Doudera,Czech Republic,Defender,True
Vladimir Darida,Czech Republic,Midfield,True
Lukas Cerv,Czech Republic,Midfield,True
Lukas Provod,Czech Republic,Midfield,True
Michal Sadilek,Czech Republic,Midfield,True
Tomas Soucek,Czech Republic,Midfield,True
Alexandr Sojka,Czech Republic,Midfield,True
Hugo Sochurek,Czech Republic,Midfield,True
Denis Visinsky,Czech Republic,Midfield,True
Adam Hlozek,Czech Republic,Attack,True
Patrik Schick,Czech Republic,Attack,True
Jan Kuchta,Czech Republic,Attack,True
Mojmir Chytil,Czech Republic,Attack,True
Pavel Sulc,Czech Republic,Attack,True
Tomas Chory,Czech Republic,Attack,True
Dayne St. Clair,Canada,Goalkeeper,True
Maxime Crepeau,Canada,Goalkeeper,True
Owen Goodman,Canada,Goalkeeper,True
Alistair Johnston,Canada,Defender,True
Alfie Jones,Canada,Defender,True
Luc de Fougerolles,Canada,Defender,True
Joel Waterman,Canada,Defender,True
Derek Cornelius,Canada,Defender,True
Moise Bombito,Canada,Defender,True
Alphonso Davies,Canada,Defender,True
Richie Laryea,Canada,Defender,True
Niko Sigur,Canada,Defender,True
Mathieu Choiniere,Canada,Midfield,True
Stephen Eustaquio,Canada,Midfield,True
